title,location,time_of_work,type_of_agreement,salary,article_url
Pomoc Kuchenna,16  gru,Pełny etat,Umowa o pracę,od 19 zł do 20 zł/godz.  brutto,https://www.olx.pl/oferta/pomoc-kuchenna-CID4-IDBOQHo.html#aec01974cd
Zatrudnimy pomoc kuchenną,"Kraków, Stare Miasto",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/zatrudnimy-pomoc-kuchenna-CID4-IDBkjry.html#aec01974cd
Barman/barista - zatrudnimy w restauracji w centrum Krakowa,wczoraj 12:50,Pełny etat,Umowa o pracę,2 800 zł/mies. brutto,https://www.olx.pl/oferta/barman-barista-zatrudnimy-w-restauracji-w-centrum-krakowa-CID4-IDCKJ9w.html#aec01974cd
Kucharz/pomoc kuchenna - catering dietetyczny wegański,"Kraków, Czyżyny",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-pomoc-kuchenna-catering-dietetyczny-weganski-CID4-IDCLi80.html#aec01974cd
Restauracja śródziemnomorska zatrudni Kucharza,17  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/restauracja-srodziemnomorska-zatrudni-kucharza-CID4-IDCdvP3.html#aec01974cd;promoted
Pomoc kuchenna,"Kraków, Krowodrza",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pomoc-kuchenna-CID4-IDAtrTn.html#aec01974cd
Promotorów zatrudnię.,11  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/promotorow-zatrudnie-CID4-IDzvZIJ.html#aec01974cd
Restauracja indyjska zatrudni kelnera/kę,"Kraków, Stare Miasto",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/restauracja-indyjska-zatrudni-kelnera-ke-CID4-IDzCqZS.html#aec01974cd
"Kelner śniadaniowy, kelner",11  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kelner-sniadaniowy-kelner-CID4-IDCm5MF.html#aec01974cd
Kucharz,"Kraków, Stare Miasto",Niepełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-CID4-IDC3wV3.html#aec01974cd
"Kucharzy, Grilowych- SIOUX Rynek",11  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharzy-grilowych-sioux-rynek-CID4-IDtzuWJ.html#aec01974cd
Pomoc kuchenna/zmywak,"Kraków, Stare Miasto",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pomoc-kuchenna-zmywak-CID4-IDz3v8o.html#aec01974cd
Restauracja przyjmie do pracy,11  gru,Pełny etat,Umowa o pracę,od 3 000 zł do 5 000 zł/mies.  brutto,https://www.olx.pl/oferta/restauracja-przyjmie-do-pracy-CID4-IDCPSZA.html#aec01974cd
Kucharz/ młodszy kucharz,"Kraków, Stare Miasto",Pełny etat,Umowa o pracę,od 15 zł do 19 zł/godz.  brutto,https://www.olx.pl/oferta/kucharz-mlodszy-kucharz-CID4-IDAWirR.html#aec01974cd
Pracownik restauracji McDonald`s PKP,11  gru,Pełny etat,Umowa o pracę,od 2 500 zł do 3 000 zł/mies.  brutto,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-pkp-CID4-IDCxWxM.html#aec01974cd
Kucharz-Polska Kuchnia,"Kraków, Bronowice",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-polska-kuchnia-CID4-IDz0koR.html#aec01974cd
Kierownik zmiany. (restauracje sushi TAO),11  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kierownik-zmiany-restauracje-sushi-tao-CID4-IDCPojr.html#aec01974cd
Barista w McDonald’s,"Kraków, Bieżanów-Prokocim",Pełny etat,Umowa o pracę,od 16 zł do 18 zł/mies.  brutto,https://www.olx.pl/oferta/barista-w-mcdonalds-CID4-IDCxlfo.html#aec01974cd
Pracownik zmiany nocnej w McDonald’s,11  gru,Pełny etat,Umowa o pracę,od 2 000 zł do 5 000 zł/mies.  brutto,https://www.olx.pl/oferta/pracownik-zmiany-nocnej-w-mcdonalds-CID4-IDCxlf8.html#aec01974cd
Kierownik Zmiany- menadżer w restauracji McDonald`s,"Kraków, Prądnik Czerwony",Pełny etat,Umowa o pracę,od 3 400 zł do 6 000 zł/mies.  brutto,https://www.olx.pl/oferta/kierownik-zmiany-menadzer-w-restauracji-mcdonalds-CID4-IDCxjni.html#aec01974cd
Lider Gościnności w McDonald`s,11  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/lider-goscinnosci-w-mcdonalds-CID4-IDCxjnt.html#aec01974cd
Pracownik restauracji McDonald`s Kraków Śliwiaka,"Kraków, Stare Miasto",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-krakow-sliwiaka-CID4-IDCxjn1.html#aec01974cd
BARMAN Restauracja Zielonym Do Góry/Lwowska 1,11  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/barman-restauracja-zielonym-do-gory-lwowska-1-CID4-IDC2wXI.html#aec01974cd
Kelnerka/Kelner Hotel ***,"Kraków, Stare Miasto",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kelnerka-kelner-hotel-CID4-IDCPgRl.html#aec01974cd
Kucharza zatrudni restauracja polsko-włoska w Krakowie ( Ruczaj ),11  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharza-zatrudni-restauracja-polsko-wloska-w-krakowie-ruczaj-CID4-IDz6B0t.html#aec01974cd
Pracownik restauracji McDonald`s PKP,"Kraków, Stare Miasto",Pełny etat,Umowa o pracę,15 zł/mies. brutto,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-pkp-CID4-IDCx8F0.html#aec01974cd
