model,production year,mileage,engine capacity,price,currency,city,region
Ford Focus Mk3,2013,125 000 km,2 000 cm3,39 900,PLN,Mielec,Podkarpackie
Ford Focus Mk2,2009,123 000 km,1 600 cm3,19 800,PLN,Gniezno,Wielkopolskie
Ford Focus Mk2,2009,114 000 km,1 798 cm3,18 800,PLN,Tczew,Pomorskie
Ford Focus Mk3,2015,83 000 km,2 000 cm3,44 267,PLN,Opole,Opolskie
Ford Focus Mk3,2011,146 700 km,1 600 cm3,32 900,PLN,Lublin,Lubelskie
Ford Focus Mk3,2016,83 000 km,Benzyna,38 500,PLN,Nysa,Opolskie
Ford Focus Mk3,2012,146 000 km,1 999 cm3,47 000,PLN,Katowice,Œl¹skie
Ford Focus Mk3,2017,83 000 km,1 600 cm3,43 500,PLN,Mszana Dolna,Ma³opolskie
Ford Focus Mk3,2012,85 441 km,1 600 cm3,33 400,PLN,Koœcierzyna,Pomorskie
Ford Focus Mk2,2009,141 678 km,1 600 cm3,17 900,PLN,Pilawa,Mazowieckie
Ford Focus Mk3,2012,125 000 km,1 000 cm3,24 700,PLN,Starogard Gdañski,Pomorskie
Ford Focus Mk3,2017,121 000 km,1 499 cm3,42 900,PLN,Warszawa,Mazowieckie
Ford Focus Mk2,2009,119 000 km,1 000 cm3,13 999,PLN,Elbl¹g,Warmiñsko-mazurskie
Ford Focus Mk3,2013,112 500 km,2 000 cm3,31 900,PLN,Kobierzyce,Dolnoœl¹skie
Ford Focus Mk3,2017,88 176 km,1 596 cm3,40 900,PLN,Tarnowskie Góry,Œl¹skie
Ford Focus Mk3,2012,80 000 km,999 cm3,25 999,PLN,Trzemeszno,Wielkopolskie
Ford Focus Mk3,2012,116 000 km,998 cm3,28 700,PLN,Tomaszów Mazowiecki,£ódzkie
Ford Focus Mk2,2009,142 000 km,1 596 cm3,16 900,PLN,Kutno,£ódzkie
Ford Focus Mk3,2015,135 917 km,2 000 cm3,32 900,PLN,Siedlce,Mazowieckie
Ford Focus Mk3,2015,78 500 km,1 998 cm3,30 600,PLN,Bia³a Podlaska,Lubelskie
Ford Focus Mk3,2015,92 273 km,1 499 cm3,41 998,PLN,Katowice,Œl¹skie
